,company,average gas consumption
0,GREAT EASTERN ENERGY CORPORATION LTD,1.8296666666666666
1,GAIL (INDIA) LIMITED,1.18
2,AVANTIKA GAS LTD,16.25
3,-,229.90809090909096
4,THINK GAS BHOPAL PRIVATE LIMITED,27.783749999999998
5,GREEN GAS LTD,173.7
6,ADANI GAS LIMITED,355.54750000000007
7,MAHANAGAR GAS LTD,503.7
8,GUJARAT GAS LIMITED,533.1106000000001
9,GAIL (INDIA) LTD,1.4936666666666667
10,BHAGYANAGAR GAS LTD,25.200000000000003
11,BHAGYANAGAR GAS LIMITED,25.0042
12,ASSAM GAS COMPANY LIMITED,0.02
13,ADANI ENERGY LTD,469.7
14,INDIAN OIL ADANI GAS PVT LTD,5.883777777777778
15,GAIL GAS LTD,2.1
16,RAJASTHAN STATE GAS LIMITED,6.50825
17,INDRAPRASTHA GAS LTD,901.9140000000001
18,HARYANA CITY GAS LTD,75.25
19,GAIL GAS LIMITED,0.43775
20,GUJARAT STATE PETRONET LIMITED,3.9050000000000002
21,INDIAN OIL-ADANI GAS PVT LTD,0.589
22,GOA NATURAL GAS PRIVATE LIMITED,0.03
23,TRIPURA NATURAL GAS CO LTD,12.133333333333333
