,state,average gas consumption
0,WEST BENGAL,1.8296666666666666
1,JHARKHAND,0.34
2,BIHAR,2.02
3,MADHYA PRADESH,24.437142857142856
4,UTTAR PRADESH,223.89385714285714
5,MAHARASHTRA,637.2352857142859
6,ODISHA,1.4936666666666667
7,ANDHRA PRADESH,26.12642857142857
8,TELANGANA,14.326
9,ASSAM,0.02
10,GUJARAT,572.5714285714286
11,KERALA,2.404666666666667
12,RAJASTHAN,4.979142857142858
13,DELHI,915.0757142857144
14,HARYANA,112.79042857142856
15,KARNATAKA,0.43775
16,PUNJAB,3.9050000000000002
17,UTTARAKHAND,0.589
18,GOA,0.03
19,TRIPURA,12.528285714285715
20,DIU & DAMAN,1.618
21,CHANDIGARH,13.628666666666666
22,DADRA & NAGAR HAVELI,1.6344999999999998
